"County Name","Census Tract","Unaffordable Housing Units","Total Occupied Housing Units","Unaffordable Housing Unit Percentage","Lower ME","Upper ME","IBL Rank"
"n/a","State Total","902723","2848396","31.69","31.69","31.69","6"
"Adams","53001950100","289","1050","27.52","27.47","27.58","4"
"Adams","53001950200","53","615","8.62","8.57","8.66","1"
"Adams","53001950300","546","1655","32.99","32.89","33.09","7"
"Adams","53001950400","265","974","27.21","27.11","27.31","4"
"Adams","53001950500","438","1679","26.09","26","26.17","4"
"Asotin","53003960100","297","1706","17.41","17.36","17.46","1"
"Asotin","53003960200","307","2045","15.01","14.95","15.07","1"
"Asotin","53003960300","470","1433","32.8","32.71","32.89","7"
"Asotin","53003960400","334","954","35.01","34.92","35.1","8"
"Asotin","53003960500","454","1471","30.86","30.77","30.95","6"
"Asotin","53003960600","326","1492","21.85","21.78","21.92","2"
"Benton","53005010100","232","1848","12.55","12.51","12.6","1"
"Benton","53005010201","269","2163","12.44","12.39","12.48","1"
"Benton","53005010202","702","2799","25.08","25.01","25.15","3"
"Benton","53005010300","460","2352","19.56","19.49","19.62","1"
"Benton","53005010400","395","1371","28.81","28.73","28.89","5"
"Benton","53005010500","305","997","30.59","30.5","30.68","6"
"Benton","53005010600","621","1822","34.08","34.01","34.16","7"
"Benton","53005010701","165","864","19.1","19.03","19.16","1"
"Benton","53005010703","152","1120","13.57","13.51","13.63","1"
"Benton","53005010705","260","1777","14.63","14.58","14.68","1"
"Benton","53005010707","172","1058","16.26","16.19","16.32","1"
"Benton","53005010708","203","1278","15.88","15.83","15.94","1"
"Benton","53005010803","623","3248","19.18","19.13","19.23","1"
"Benton","53005010805","515","2848","18.08","18.02","18.14","1"
"Benton","53005010807","57","447","12.75","12.66","12.84","1"
"Benton","53005010809","716","2504","28.59","28.51","28.68","5"
"Benton","53005010810","434","2214","19.6","19.54","19.66","1"
"Benton","53005010811","216","1533","14.09","14.04","14.14","1"
"Benton","53005010813","1331","5080","26.2","26.14","26.27","4"
"Benton","53005010814","346","1403","24.66","24.59","24.74","3"
"Benton","53005010901","949","2615","36.29","36.19","36.4","8"
"Benton","53005010902","609","1747","34.86","34.77","34.95","7"
"Benton","53005011001","764","2111","36.19","36.09","36.29","8"
"Benton","53005011002","569","1887","30.15","30.07","30.23","6"
"Benton","53005011100","758","2768","27.38","27.31","27.46","4"
"Benton","53005011200","1022","2598","39.34","39.24","39.44","9"
"Benton","53005011300","557","1578","35.3","35.21","35.39","8"
"Benton","53005011401","507","1344","37.72","37.62","37.82","8"
"Benton","53005011402","297","1894","15.68","15.63","15.73","1"
