X,Y,OBJECTID,NAME,ADDRESS,ORIG_ADDRE,PIN,LANDNO,ORDINANCE,EFF_DATE,SE_ANNO_CAD_DATA
1276545.00004563,225523.640638605,1,Old Fire Station #23,722 18th Ave,722 18th Ave,2254502235,767742,106050,1976/12/21 08:00:00+00,
1281980.24997069,228095.953088999,2,Charles Bussell House (Eman/Jacobsen),1630 36th Ave,1630 36th Ave,7424700070,767743,108212,1979/05/14 08:00:00+00,
1270150.62499967,228966.51564981,3,Old Norway Hall,2015 Boren Ave,2015 Boren Ave,0660001490,767744,124375,,
1273677.66673096,204679.368043199,4,Rainier Cold Storage/Ice/Seattle Brewing/Malting Co. Bldg,5622-6010 Airport Way S,6000-6004 Airport Way S,0001800023,767745,116973,1993/12/13 08:00:00+00,
1260442.05180663,236232.969928578,5,Fourteenth Ave W Group,2014 14th Ave W,2000-2016 14th Ave W, ,767746,108211,1979/05/14 08:00:00+00,
1288732.87500097,188832.640668437,6,Old Fire Station #33,10235 62nd Ave S,10235 62nd Ave S,2520900050,767747,106053,1976/12/21 08:00:00+00,
1259101.49999738,215392.500021175,7,Hainsworth/Gordon House,2657 37th Ave SW,2657 37th Ave SW,9345400210,767748,109734,1981/03/02 08:00:00+00,
1257021.12495545,216157.531189889,8,Admiral Theater,2343 California Ave SW,2343 California Ave SW,6379500055,767749,116972,1993/12/13 08:00:00+00,
1256092.62498657,200967.609383747,9,Gatewood School,4320 SW Myrtle St,4320 SW Myrtle St,4315700020,767750,0,,
1276162.37502126,222870.093756139,10,Langston Hughes Cultural Arts Center,104 17th Ave S,104 17th Ave S,9826700795,767751,110354,1981/12/28 08:00:00+00,
1280572.24996938,218657.390648216,11,Thompson/LaTurner House,3119 S Day St,3119 S Day St,6909200597,767752,107613,1978/08/14 08:00:00+00,
1276332.75006142,219836.843705311,12,Black Manufacturing Building,1130 Rainier Ave S,1130 Rainier Ave S,7132300370,767753,113601,1987/09/08 08:00:00+00,
