"CountyName","CensusTract","Unaffordable Housing Units","Total Occupied Housing Units","uh_unit_perc","Lower ME","Upper ME","IBL Rank"
"n/a","State Total","936360","2668912","35.08","35.08","35.09","6"
"Adams","53001950100","267","989","27","26.94","27.05","2"
"Adams","53001950200","122","634","19.24","19.18","19.3","1"
"Adams","53001950300","522","1895","27.55","27.47","27.62","3"
"Adams","53001950400","356","890","40","39.91","40.09","8"
"Adams","53001950500","411","1394","29.48","29.38","29.59","3"
"Asotin","53003960100","367","1700","21.59","21.54","21.64","1"
"Asotin","53003960200","545","2128","25.61","25.54","25.69","2"
"Asotin","53003960300","508","1510","33.64","33.56","33.72","5"
"Asotin","53003960400","243","978","24.85","24.78","24.91","2"
"Asotin","53003960500","605","1540","39.29","39.19","39.38","8"
"Asotin","53003960600","347","1485","23.37","23.29","23.45","1"
"Benton","53005010100","247","1813","13.62","13.57","13.68","1"
"Benton","53005010201","377","1935","19.48","19.42","19.55","1"
"Benton","53005010202","748","2838","26.36","26.29","26.43","2"
"Benton","53005010300","531","2120","25.05","24.97","25.13","2"
"Benton","53005010400","448","1497","29.93","29.84","30.01","4"
"Benton","53005010500","348","1022","34.05","33.95","34.15","6"
"Benton","53005010600","651","1752","37.16","37.07","37.24","7"
"Benton","53005010701","161","802","20.07","20","20.15","1"
"Benton","53005010703","326","1214","26.85","26.73","26.98","2"
"Benton","53005010705","188","1821","10.32","10.28","10.36","1"
"Benton","53005010707","129","943","13.68","13.62","13.74","1"
"Benton","53005010708","254","941","26.99","26.93","27.06","2"
"Benton","53005010803","627","2884","21.74","21.67","21.81","1"
"Benton","53005010805","449","2597","17.29","17.22","17.35","1"
"Benton","53005010807","88","361","24.38","24.24","24.51","2"
"Benton","53005010809","893","2487","35.91","35.82","36","6"
"Benton","53005010810","532","2122","25.07","25.01","25.13","2"
"Benton","53005010811","163","1215","13.42","13.34","13.49","1"
"Benton","53005010813","981","4029","24.35","24.29","24.41","2"
"Benton","53005010814","197","1026","19.2","19.12","19.28","1"
"Benton","53005010901","824","2303","35.78","35.7","35.86","6"
"Benton","53005010902","665","1802","36.9","36.81","37","7"
"Benton","53005011001","466","2029","22.97","22.89","23.05","1"
"Benton","53005011002","719","1814","39.64","39.55","39.72","8"
"Benton","53005011100","792","2673","29.63","29.56","29.7","3"
"Benton","53005011200","1483","2868","51.71","51.62","51.79","10"
"Benton","53005011300","522","1603","32.56","32.48","32.65","5"
"Benton","53005011401","489","1336","36.6","36.51","36.7","7"
"Benton","53005011402","363","1917","18.94","18.87","19","1"
"Benton","53005011501","448","2252","19.89","19.82","19.96","1"
"Benton","53005011503","753","3340","22.54","22.48","22.61","1"
"Benton","53005011504","227","993","22.86","22.79","22.93","1"
"Benton","53005011600","12","334","3.59 (NR)","3.53","3.66","1"
"Benton","53005011700","750","2636","28.45","28.37","28.53","3"
"Benton","53005011800","487","2059","23.65","23.58","23.73","1"
"Benton","53005011900","530","2044","25.93","25.87","25.99","2"
"Benton","53005012000","0","8","0 (NR)","0","3.67","1"
"Chelan","53007960100","270","902","29.93","29.86","30","4"
"Chelan","53007960200","721","2826","25.51","25.46","25.57","2"
"Chelan","53007960300","887","2669","33.23","33.15","33.32","5"
"Chelan","53007960400","323","1312","24.62","24.53","24.71","2"
"Chelan","53007960500","589","2277","25.87","25.79","25.95","2"
"Chelan","53007960600","415","1471","28.21","28.15","28.27","3"
"Chelan","53007960700","232","1381","16.8","16.75","16.85","1"
"Chelan","53007960801","262","1064","24.62","24.52","24.72","2"
"Chelan","53007960802","1097","2890","37.96","37.88","38.04","7"
"Chelan","53007961000","1016","2376","42.76","42.66","42.86","9"
"Chelan","53007961100","839","2927","28.66","28.58","28.74","3"
"Chelan","53007961200","440","1500","29.33","29.25","29.41","3"
"Chelan","53007961301","158","534","29.59","29.47","29.7","3"
"Chelan","53007961302","927","2923","31.71","31.63","31.8","4"
"Clallam","53009000200","116","447","25.95","25.83","26.07","2"
"Clallam","53009000300","602","2068","29.11","29.03","29.19","3"
"Clallam","53009000400","129","671","19.23","19.15","19.3","1"
"Clallam","53009000600","409","1348","30.34","30.27","30.41","4"
"Clallam","53009000700","525","1372","38.27","38.17","38.36","7"
"Clallam","53009000800","705","1803","39.1","39.03","39.17","8"
"Clallam","53009000900","512","1296","39.51","39.41","39.6","8"
"Clallam","53009001000","564","1174","48.04","47.92","48.16","10"
"Clallam","53009001100","478","1340","35.67","35.58","35.76","6"
"Clallam","53009001200","738","1678","43.98","43.89","44.07","9"
"Clallam","53009001300","340","1363","24.94","24.87","25.02","2"
"Clallam","53009001400","431","1943","22.18","22.12","22.24","1"
"Clallam","53009001500","232","862","26.91","26.84","26.99","2"
"Clallam","53009001600","372","1555","23.92","23.86","23.98","1"
"Clallam","53009001700","696","2108","33.02","32.93","33.11","5"
"Clallam","53009001800","383","1097","34.91","34.83","35","6"
"Clallam","53009001900","807","2670","30.22","30.16","30.29","4"
"Clallam","53009002000","935","2642","35.39","35.32","35.46","6"
"Clallam","53009002100","722","1541","46.85","46.77","46.93","10"
"Clallam","53009002300","616","1856","33.19","33.11","33.27","5"
"Clallam","53009940000","56","487","11.5","11.46","11.54","1"
"Clallam","53009990100","0","0","0 (NR)","0","0","1"
"Clark","53011040101","552","1634","33.78","33.7","33.86","5"
"Clark","53011040102","310","1073","28.89","28.81","28.97","3"
"Clark","53011040201","734","2216","33.12","33.05","33.2","5"
"Clark","53011040202","444","1346","32.99","32.9","33.08","5"
"Clark","53011040203","566","1831","30.91","30.84","30.98","4"
"Clark","53011040301","93","563","16.52","16.41","16.62","1"
